{'epoch': 48, 'trainloss': 0.1375, 'testloss': 0.636, 'trainiou': 0.934, 'testiou': 0.7638, 'trainbiou': 0.8509, 'testbiou': 0.6448, 'trainscore': 0.8925, 'testscore': 0.7043}
{'epoch': 49, 'trainloss': 0.163, 'testloss': 0.7128, 'trainiou': 0.9285, 'testiou': 0.7574, 'trainbiou': 0.8399, 'testbiou': 0.6398, 'trainscore': 0.8842, 'testscore': 0.6986}
{'epoch': 50, 'trainloss': 0.1375, 'testloss': 0.5157, 'trainiou': 0.9342, 'testiou': 0.8023, 'trainbiou': 0.8519, 'testbiou': 0.6871, 'trainscore': 0.8931, 'testscore': 0.7447}
{'epoch': 51, 'trainloss': 0.1439, 'testloss': 0.5962, 'trainiou': 0.9362, 'testiou': 0.7822, 'trainbiou': 0.8542, 'testbiou': 0.667, 'trainscore': 0.8952, 'testscore': 0.7246}
{'epoch': 52, 'trainloss': 0.1519, 'testloss': 0.5596, 'trainiou': 0.9295, 'testiou': 0.7916, 'trainbiou': 0.8413, 'testbiou': 0.675, 'trainscore': 0.8854, 'testscore': 0.7333}
{'epoch': 53, 'trainloss': 0.1614, 'testloss': 0.5011, 'trainiou': 0.9273, 'testiou': 0.7998, 'trainbiou': 0.8372, 'testbiou': 0.6796, 'trainscore': 0.8823, 'testscore': 0.7397}
{'epoch': 54, 'trainloss': 0.1431, 'testloss': 0.431, 'trainiou': 0.9338, 'testiou': 0.8185, 'trainbiou': 0.8514, 'testbiou': 0.7001, 'trainscore': 0.8926, 'testscore': 0.7593}
{'epoch': 55, 'trainloss': 0.1263, 'testloss': 0.4574, 'trainiou': 0.9381, 'testiou': 0.8089, 'trainbiou': 0.8597, 'testbiou': 0.6911, 'trainscore': 0.8989, 'testscore': 0.75}
{'epoch': 56, 'trainloss': 0.1372, 'testloss': 0.4381, 'trainiou': 0.9338, 'testiou': 0.8142, 'trainbiou': 0.851, 'testbiou': 0.6967, 'trainscore': 0.8924, 'testscore': 0.7555}
{'epoch': 57, 'trainloss': 0.1248, 'testloss': 0.3968, 'trainiou': 0.9382, 'testiou': 0.8403, 'trainbiou': 0.8608, 'testbiou': 0.731, 'trainscore': 0.8995, 'testscore': 0.7857}
{'epoch': 58, 'trainloss': 0.1484, 'testloss': 0.4886, 'trainiou': 0.9328, 'testiou': 0.814, 'trainbiou': 0.8484, 'testbiou': 0.6979, 'trainscore': 0.8906, 'testscore': 0.756}
{'epoch': 59, 'trainloss': 0.1497, 'testloss': 0.5047, 'trainiou': 0.9297, 'testiou': 0.8015, 'trainbiou': 0.8431, 'testbiou': 0.6831, 'trainscore': 0.8864, 'testscore': 0.7423}
{'epoch': 60, 'trainloss': 0.1519, 'testloss': 0.4333, 'trainiou': 0.9337, 'testiou': 0.8341, 'trainbiou': 0.8486, 'testbiou': 0.7242, 'trainscore': 0.8911, 'testscore': 0.7792}
{'epoch': 61, 'trainloss': 0.137, 'testloss': 0.4361, 'trainiou': 0.9391, 'testiou': 0.8234, 'trainbiou': 0.8609, 'testbiou': 0.7082, 'trainscore': 0.9, 'testscore': 0.7658}
{'epoch': 62, 'trainloss': 0.1289, 'testloss': 0.4781, 'trainiou': 0.9368, 'testiou': 0.8166, 'trainbiou': 0.8574, 'testbiou': 0.7004, 'trainscore': 0.8971, 'testscore': 0.7585}
{'epoch': 63, 'trainloss': 0.148, 'testloss': 0.5926, 'trainiou': 0.9301, 'testiou': 0.7785, 'trainbiou': 0.8426, 'testbiou': 0.6697, 'trainscore': 0.8864, 'testscore': 0.7241}
